,esp,fecha,nota,legajo,materia,nombre_de_,ingr,Carrera,Recibido
7225,34,02-Dec-02,8,12480,128,Metodología de la Investigación,2002.0,Indeterminado,Ndeah
7226,34,10-Mar-03,5,12481,111,Inglés I,2002.0,Indeterminado,Ndeah
7227,34,04-Aug-03,6,12481,112,Inglés II,2002.0,Indeterminado,Ndeah
7228,34,10-Oct-02,2,12481,121,Programación I,2002.0,Indeterminado,Ndeah
7229,34,05-Dec-02,5,12481,121,Programación I,2002.0,Indeterminado,Ndeah
7230,34,12-Dec-02,2,12481,122,Sistemas de Procesamiento de Datos,2002.0,Indeterminado,Ndeah
7231,34,19-Dec-02,2,12481,122,Sistemas de Procesamiento de Datos,2002.0,Indeterminado,Ndeah
7233,34,06-Mar-03,4,12481,122,Sistemas de Procesamiento de Datos,2002.0,Indeterminado,Ndeah
7234,34,10-Jul-02,5,12481,124,Laboratorio de Computación I,2002.0,Indeterminado,Ndeah
7235,34,17-Dec-02,6,12481,125,Programación II,2002.0,Indeterminado,Ndeah
7237,34,18-Feb-03,5,12481,127,Laboratorio de Computación II,2002.0,Indeterminado,Ndeah
7238,34,16-Dec-02,7,12481,128,Metodología de la Investigación,2002.0,Indeterminado,Ndeah
7239,34,17-Dec-03,5,12481,209,Legislación,2002.0,Indeterminado,Ndeah
7240,34,15-Jul-03,4,12481,232,Organización Empresarial,2002.0,Indeterminado,Ndeah
7305,34,10-Jul-02,4,12487,124,Laboratorio de Computación I,2002.0,Indeterminado,Ndeah
7307,34,30-Jul-02,2,12488,123,Matemática,2002.0,Indeterminado,Ndeah
7309,34,31-Jul-02,2,12488,124,Laboratorio de Computación I,2002.0,Indeterminado,Ndeah
7328,34,03-Mar-03,2,12490,111,Inglés I,2002.0,Indeterminado,Ndeah
